_id,author,category,etext,language,title,zipfile
3301,"Calvin, John",Non-fiction,http://www.ccel.org/ccel/calvin/institutes.html,English,"Institutes of the Christian Religion, Book 2",http://www.archive.org/download/institutes_christian_religion2_1003_librivox/institutes_christian_religion2_1003_librivox_64kb_mp3.zip
3303,"Foxe, John",,http://www.ccel.org/ccel/foxe/martyrs/files/martyrs.htm,English,"Foxe's Book of Martyrs Vol 2, A History of the Lives, Sufferings, and Triumphant Deaths of the Early Christian and the Protestant Martyrs",http://www.archive.org/download/foxes_book_of_martyrs_vol2_1002_librivox/foxes_book_of_martyrs_vol2_1002_librivox_64kb_mp3.zip
3304,Various,Fiction,,English,Short Ghost and Horror Collection 005,http://www.archive.org/download/short_ghohor_005_librivox/short_ghohor_005_librivox_64kb_mp3.zip
3305,"Campana, Dino",Poetry,http://www.intratext.com/y/ITA1837.HTM,Italian,Canti orfici,http://www.archive.org/download/canti_orfici_sb_librivox/canti_orfici_sb_librivox_64kb_mp3.zip
3306,"Verne, Jules",Fiction,http://www.gutenberg.org/ebooks/1842,English,Michael Strogoff,http://www.archive.org/download/michael_strogoff_dl_librivox/michael_strogoff_dl_librivox_64kb_mp3.zip
3307,"Burgess, Thornton W.",Fiction,http://www.gutenberg.org/ebooks/5844,English,"Adventures of Johnny Chuck, The",http://www.archive.org/download/johnnychuck_0912_librivox/johnnychuck_0912_librivox_64kb_mp3.zip
3308,"Wilcox, Ella Wheeler",Poetry,http://www.gutenberg.org/etext/16776,English,Poems of Passion,http://www.archive.org/download/poems_passion_1004_librivox/poems_passion_1004_librivox_64kb_mp3.zip
3309,"Wharton, Edith",Fiction,http://www.gutenberg.org/etext/311,English,Bunner Sisters,http://www.archive.org/download/bunnersisters_0907_librivox/bunnersisters_0907_librivox_64kb_mp3.zip
3310,King James Version,Non-fiction,http://www.gutenberg.org/etext/8011,English,Bible (KJV) 11: 1 Kings,http://www.archive.org/download/bible_kjv_11_1king_0909_librivox/bible_kjv_11_1king_0909_librivox_64kb_mp3.zip
3311,"Barrili, Anton Giulio",Fiction,http://www.gutenberg.org/etext/19427,Italian,Galatea,http://www.archive.org/download/galatea_0908_librivox/galatea_0908_librivox_64kb_mp3.zip
3313,"Camões, Luís Vaz de",Poetry,http://www.gutenberg.org/etext/3333,Portuguese,"Lusíadas, Os",http://www.archive.org/download/os_lusiadas_0908_librivox/os_lusiadas_0908_librivox_64kb_mp3.zip
3314,Various,Fiction,http://www.gutenberg.org/etext/29255,English,"Astounding Stories of Super-Science, September 1930",http://www.archive.org/download/astoundingstories_sep1930_0911_librivox/astoundingstories_sep1930_0911_librivox_64kb_mp3.zip
3315,"Burnett, Frances Hodgson",Fiction,http://www.gutenberg.org/etext/27990,English,Theo,http://www.archive.org/download/theo_0912_librivox/theo_0912_librivox_64kb_mp3.zip
3316,"Maugham, W. Somerset",Fiction,http://www.gutenberg.org/etext/222,English,"Moon and Sixpence, The",http://www.archive.org/download/moon_sixpence_td_0911_librivox/moon_sixpence_td_0911_librivox_64kb_mp3.zip
3317,"Voltaire (Arouet, François Marie)",Fiction,http://books.google.com/books?id=n0LQAAAAMAAJ&pg=RA2-PA85&lpg=RA2-PA85&dq=sincere+huron+voltaire+ashmore&source=bl&ots=k4Txi-W60h&sig=UJvftTdNft2a0bAS,English,"Sincere Huron (L'Ingénu), The",http://www.archive.org/download/details.php?identifier=sincere_huron_0908_librivox/details.php?identifier=sincere_huron_0908_librivox_64kb_mp3.zip
3318,"Gehrkens, Karl Wilson Gehrkens",Non-fiction,http://www.gutenberg.org/etext/19499,English,Music Notation and Terminology,http://www.archive.org/download/music_notation_1009_librivox/music_notation_1009_librivox_64kb_mp3.zip
